,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen",Won 1 Oscar. Another 29 wins & 25 nominations.,"$34,187,787","Germany, USA",01 Jun 2004,Patty Jenkins,,"Biography, Crime, Drama, Thriller",English,74,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",https://m.media-amazon.com/images/M/MV5BMTI4NzI5NzEwNl5BMl5BanBnXkFtZTcwNjc1NjQyMQ@@._V1_SX300.jpg,Newmarket Film Group,R,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",30 Jan 2004,True,109 min,,Monster,movie,http://www.monsterfilm.com/,Patty Jenkins,2003,tt0340855,7.3,"123,001",,
1,"Devon Alan, Laura Harris, Zooey Deschanel, Marco Leonardi",1 nomination.,N/A,"Canada, USA",N/A,Marcel Sarmiento,,N/A,English,N/A,N/A,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",01 Apr 2003,True,127 min,,It's Better to Be Wanted for Murder Than Not to Be Wanted at All,movie,N/A,Marcel Sarmiento,2003,tt0339882,6.6,31,,
2,"Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch",3 wins & 7 nominations.,"$59,537,388","USA, France, Canada, Spain",23 Mar 2004,Mathieu Kassovitz,,"Horror, Mystery, Thriller",English,38,"A repressed female psychiatrist wakes up as a patient in the asylum where she worked, with no memory of why she is there or what she has done.",https://m.media-amazon.com/images/M/MV5BMTYxNDA4OTAxNF5BMl5BanBnXkFtZTcwMTI5NjQzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",21 Nov 2003,True,98 min,,Gothika,movie,http://gothikamovie.warnerbros.com/,Sebastian Gutierrez,2003,tt0348836,5.8,"99,552",,
3,"Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran",12 nominations.,"$66,327,144","USA, Germany, Czech Republic, UK",16 Dec 2003,Stephen Norrington,,"Action, Adventure, Fantasy, Sci-Fi","English, German, Italian",30,"In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction and adventure characters team up on a secret mission.",https://m.media-amazon.com/images/M/MV5BZTFlOTdkMjEtNGVmMS00YTA3LThlNjQtMjAzZmFjZDAzNjllL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",11 Jul 2003,True,110 min,,The League of Extraordinary Gentlemen,movie,http://www.lxgmovie.com,"Alan Moore (comic books), Kevin O'Neill (comic books), James Robinson (screenplay)",2003,tt0311429,5.8,"156,033",,
4,"Pamela Anderson, Jenny McCarthy, Marny Eng, Charlie Sheen",2 wins & 4 nominations.,N/A,"USA, Canada",11 May 2004,David Zucker,,Comedy,English,49,"Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.",https://m.media-amazon.com/images/M/MV5BNDE2NTIyMjg2OF5BMl5BanBnXkFtZTYwNDEyMTg3._V1_SX300.jpg,Miramax Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",24 Oct 2003,True,84 min,,Scary Movie 3,movie,http://www.scarymovie.com/sm3_home.html,"Craig Mazin, Pat Proft, Shawn Wayans (characters), Marlon Wayans (characters), Buddy Johnson (characters), Phil Beauman (characters), Jason Friedberg (characters), Aaron Seltzer (characters)",2003,tt0306047,5.5,"126,494",,
5,"Sylvie Testud, Kaori Tsuji, Tarô Suwa, Bison Katayama",5 wins & 2 nominations.,N/A,"France, Japan",06 Sep 2005,Alain Corneau,,"Comedy, Drama","French, Japanese",75,"A Belgian woman looks back on her year at a Japanese corporation in Tokyo in 1990. She is Amélie, born in Japan, living there until age 5. After college graduation, she returns with a ...",https://m.media-amazon.com/images/M/MV5BMGE5M2YzMjItZTg5ZS00M2Q2LWJiMWItOGM5NDk0OGYxM2MzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,The Cinema Guild,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",12 Mar 2003,True,107 min,,Fear and Trembling,movie,http://www.cinemaguild.com/fearandtrembling/index.htm,"Amélie Nothomb (novel), Alain Corneau (scenario)",2003,tt0318725,7.1,"3,964",,
6,"Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas",3 wins & 14 nominations.,"$132,122,995",USA,28 Oct 2003,Ang Lee,,"Action, Sci-Fi","English, Spanish",54,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",https://m.media-amazon.com/images/M/MV5BNjcxMzZhZTEtMmEwYi00NDJmLWE5ZmUtOWJiMzRmMzEzMTY3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",20 Jun 2003,True,138 min,,Hulk,movie,http://www.thehulk.com/,"Stan Lee (Marvel comic book character), Jack Kirby (Marvel comic book character), James Schamus (story), John Turman (screenplay), Michael France (screenplay), James Schamus (screenplay)",2003,tt0286716,5.7,"237,314",,
7,"Tony Saba, Lionnel Astier, Thomas Cousseau, Alexis Hénon",1 win & 1 nomination.,N/A,France,N/A,Alexandre Astier,,"Comedy, Short","French, Latin",N/A,"Pilot episode of the french comedy series ""Kaamelott"" directed by Alexandre Astier.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTc3NDg1MTI4M15BMl5BanBnXkFtZTgwODU1OTIyMTE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",01 Oct 2003,True,14 min,,Dies irae,movie,N/A,Alexandre Astier,2003,tt0406709,8.3,402,,
8,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand",Nominated for 1 Oscar. Another 7 wins & 12 nominations.,"$121,400,000",USA,30 Mar 2004,Nancy Meyers,,"Comedy, Drama, Romance","English, French",66,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,https://m.media-amazon.com/images/M/MV5BODYyNmRlNDMtYzg1Zi00NzlhLWI4ZDMtZWUwOTQzMDZiYTQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",12 Dec 2003,True,128 min,,Something's Gotta Give,movie,http://www.sonypictures.com/movies/somethingsgottagive/index.html,Nancy Meyers,2003,tt0337741,6.7,"102,183",,
9,"Hayden Christensen, Peter Sarsgaard, Chloë Sevigny, Rosario Dawson",Nominated for 1 Golden Globe. Another 11 wins & 27 nominations.,"$2,105,024","USA, Canada",23 Mar 2004,Billy Ray,,"Drama, History",English,73,The story of a young journalist who fell from grace when it was discovered he fabricated over half of his articles from the publication The New Republic magazine.,https://m.media-amazon.com/images/M/MV5BMjExNDI2OTc2MF5BMl5BanBnXkFtZTYwOTA5MjM3._V1_SX300.jpg,Lions Gate Films Inc.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",26 Nov 2003,True,94 min,,Shattered Glass,movie,http://www.shatteredglassmovie.com/index_flash.html,"Buzz Bissinger (article), Billy Ray",2003,tt0323944,7.2,"31,459",,
10,"Ellen Muth, Callum Blue, Jasmine Guy, Mandy Patinkin",Nominated for 2 Primetime Emmys. Another 6 nominations.,,"Canada, USA",,N/A,,"Comedy, Drama, Fantasy",English,N/A,"After being hit on the head by a toilet seat, a young temp clerk becomes a grim reaper in death.",https://m.media-amazon.com/images/M/MV5BMTE5OTM0NTIzN15BMl5BanBnXkFtZTcwOTQ4MTAwMQ@@._V1_SX300.jpg,,TV-14,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",27 Jun 2003,True,60 min,,Dead Like Me,series,,Bryan Fuller,2003–2004,tt0348913,8.1,"37,697",,2
11,"Angelina Jolie, Gerard Butler, Ciarán Hinds, Chris Barrie",1 win & 3 nominations.,"$65,700,000","USA, Germany, Japan, UK, Hong Kong",18 Nov 2003,Jan de Bont,,"Action, Adventure, Fantasy","English, Mandarin",43,"Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.",https://m.media-amazon.com/images/M/MV5BYzYxOTgxYjAtNGI3MS00NDJkLTkyZWItZGM5MzRhOGYwYjlmL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",25 Jul 2003,True,117 min,,Lara Croft Tomb Raider: The Cradle of Life,movie,http://www.tombraidermovie.com,"Dean Georgaris (screenplay), Steven E. de Souza (story), James V. Hart (story)",2003,tt0325703,5.5,"120,580",,
12,"Sara Downing, Amy Parks, Bailey Chase, Michael Zelniker",N/A,N/A,USA,18 Mar 2003,Tibor Takács,,"Horror, Sci-Fi, Thriller",English,N/A,"""The Brookdale Institute"" is a mysterious, little-known hospital for the criminally insane (a fact which is kept on a need-to know basis). Brookdale has another, more lucrative facet; a ...",https://m.media-amazon.com/images/M/MV5BNjc0NjUwNzkxNV5BMl5BanBnXkFtZTcwNDc0MTgxMQ@@._V1_SX300.jpg,Martien Holdings A.V.V.,R,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",15 Jan 2003,True,92 min,,Rats,movie,N/A,"Jace Anderson (screenplay), Boaz Davidson (story), Adam Gierasch (screenplay)",2003,tt0277986,3.5,938,,
13,"Michael Caine, Robert Duvall, Haley Joel Osment, Kyra Sedgwick",1 win & 6 nominations.,"$41,407,470",USA,03 Feb 2004,Tim McCanlies,,"Comedy, Drama, Family",English,52,"A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas.",https://m.media-amazon.com/images/M/MV5BMDExNDM3OGQtYjI3ZC00MmE0LWE0OGEtMzgxZDY2MDE1MDFjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,New Line Cinema,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",19 Sep 2003,True,109 min,,Secondhand Lions,movie,http://www.secondhandlions.com/,Tim McCanlies,2003,tt0327137,7.6,"48,020",,
14,"Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto",3 nominations.,"$15,176,515","USA, Germany",14 Oct 2003,Rob Schmidt,,Horror,English,32,"Six people find themselves trapped in the woods of West Virginia, hunted down by ""cannibalistic mountain men grossly disfigured through generations of in-breeding.""",https://m.media-amazon.com/images/M/MV5BMTQwMTkyMTY4M15BMl5BanBnXkFtZTYwMDc0NDE3._V1_SX300.jpg,20th Century Fox Distribution,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",30 May 2003,True,84 min,,Wrong Turn,movie,http://www.wrongturnmovie.com/,Alan B. McElroy,2003,tt0295700,6.1,"100,007",,
15,"John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz",3 nominations.,"$49,238,110",USA,17 Feb 2004,Gary Fleder,,"Crime, Drama, Thriller","English, French, Italian",61,A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.,https://m.media-amazon.com/images/M/MV5BOTcwMmE5YWItNDkzMi00Yjk2LTk5ZjItMmY5ZDhhNWE0ZWRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox Distribution,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",17 Oct 2003,True,127 min,,Runaway Jury,movie,http://www.runawayjurymovie.com/,"John Grisham (novel), Brian Koppelman (screenplay), David Levien (screenplay), Rick Cleveland (screenplay), Matthew Chapman (screenplay)",2003,tt0313542,7.1,"85,077",,
16,"Tony Jaa, Petchtai Wongkamlao, Pumwaree Yodkamol, Suchao Pongwilai",2 wins & 5 nominations.,"$3,875,926",Thailand,30 Aug 2005,Prachya Pinkaew,,"Action, Crime, Thriller","Thai, English",69,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",https://m.media-amazon.com/images/M/MV5BNDg4MmQyODgtM2Q4ZC00ZWI2LWJkYmMtYTQ5ZGI5NDJhN2IwXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg,Magnolia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",11 Feb 2005,True,105 min,,Ong-Bak: The Thai Warrior,movie,http://www.ongbak-lefilm.com/,"Panna Rittikrai (story), Prachya Pinkaew (story), Suphachai Sittiaumponpan (screenplay)",2003,tt0368909,7.2,"67,104",,
