,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Claire Danes, Toni Collette, Vanessa Redgrave, Patrick Wilson",2 nominations.,"$12,406,646","USA, Germany",25 Sep 2007,Lajos Koltai,,"Drama, Romance",English,45,"A drama exploring the romantic past and emotional present of Ann Grant and her daughters, Constance and Nina. As Ann lays dying, she remembers, and is moved to convey to her daughters, the defining moments in her life 50 years prior, when she was a young woman. Harris is the man Ann loves in the 1950s and never forgets.",https://m.media-amazon.com/images/M/MV5BMTQ3NTAzNzgzMV5BMl5BanBnXkFtZTcwMDIyMjY0MQ@@._V1_SX300.jpg,Focus Features,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",29 Jun 2007,True,117 min,,Evening,movie,http://www.focusfeatures.com/evening/,"Susan Minot (screenplay), Michael Cunningham (screenplay), Susan Minot (novel)",2007,tt0765447,6.5,"12,504",,
1,"Anessa Ramsey, Sahr Ngaujah, AJ Bowen, Matthew Stanton",4 nominations.,N/A,USA,10 Jun 2008,"David Bruckner, Dan Bush, Jacob Gentry",,"Horror, Sci-Fi, Thriller",English,63,"A horror film told in three parts, from three perspectives, in which a mysterious transmission that turns people into killers invades every cell phone, radio, and television.",https://m.media-amazon.com/images/M/MV5BODIxMzcwNTgyMF5BMl5BanBnXkFtZTcwMjk5Mzk1MQ@@._V1_SX300.jpg,Magnolia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",04 Jul 2008,True,103 min,,The Signal,movie,http://www.signalmovie.com/,"David Bruckner (screenplay), Jacob Gentry (screenplay), Dan Bush (screenplay)",2007,tt0780607,6.1,"19,495",,
2,"Eddie Murphy, Thandie Newton, Terry Crews, Clifton Powell",Nominated for 1 Oscar. Another 8 wins & 8 nominations.,"$95,323,496",USA,05 Jun 2007,Brian Robbins,,"Comedy, Romance",English,27,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her.",https://m.media-amazon.com/images/M/MV5BMTI4NDE4MjgyNV5BMl5BanBnXkFtZTcwMTQwODc0MQ@@._V1_SX300.jpg,Dreamworks Distribution LLC,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",09 Feb 2007,True,102 min,,Norbit,movie,http://www.meetnorbit.com,"Eddie Murphy (screenplay), Charlie Murphy (screenplay), Jay Scherick (screenplay), David Ronn (screenplay), Eddie Murphy (story), Charlie Murphy (story)",2007,tt0477051,4.0,"62,052",,
3,"Todd Schroeder, Laura de Carteret, Amy Lalonde, Martin Roach",1 win.,"$679,335",USA,20 May 2008,George A. Romero,,"Fantasy, Horror, Sci-Fi, Thriller",English,66,A group of young film students run into real-life zombies while filming a horror movie of their own.,https://m.media-amazon.com/images/M/MV5BNDg5MjAxMjA2Nl5BMl5BanBnXkFtZTcwMjE1OTc1MQ@@._V1_SX300.jpg,The Weinstein Company,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",22 Feb 2008,True,95 min,,Diary of the Dead,movie,http://www.myspace.com/diaryofthedead,George A. Romero,2007,tt0848557,5.7,"44,055",,
4,"Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian",3 wins & 17 nominations.,"$82,200,000",USA,13 Feb 2007,Robert Zemeckis,,"Animation, Action, Adventure, Fantasy","English, Old English",59,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing Denmark, and later, Grendel's mother, who begins killing out of revenge.",https://m.media-amazon.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",16 Nov 2007,True,115 min,,Beowulf,movie,http://www.beowulfmovie.com/,"Neil Gaiman (screenplay), Roger Avary (screenplay), Anonymous (epic poem ""Beowulf"")",2007,tt0442933,6.2,"154,462",,
5,"Benoît Poelvoorde, Natacha Lindinger, Michel Duchaussoy, Daniel Cohen",N/A,N/A,France,21 Apr 2009,Daniel Cohen,,"Comedy, Fantasy",French,N/A,A French tradesman travels in time and liberates an oppressed tribe in another world.,https://m.media-amazon.com/images/M/MV5BMTY5MjA0ODE5N15BMl5BanBnXkFtZTgwMjI1MTI1MjE@._V1_SX300.jpg,Christal Films,G,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",21 Nov 2007,True,105 min,,Les deux mondes,movie,N/A,"Daniel Cohen (screenplay), Jean-Marc Culiersi (screenplay), Daniel Cohen (dialogue), Daniel Cohen (idea), Daniel Cohen (adaptation), Eva Maria Peters (dialogue adaptation for dubbing)",2007,tt0808230,5.6,"1,165",,
6,"Daniel Tavares, Diego Torraca, Eduardo Melo, Eleio Calascibetta",8 wins.,N/A,Brazil,N/A,Daniel Ribeiro,,"Short, Drama, Romance",Portuguese,N/A,"When the plans for the future change, new bonds are created between Danilo, Lucas and Marcos. in between video-games and milk cups, pain and disappointment, they need to learn how to live together.",https://m.media-amazon.com/images/M/MV5BMTgxOTMyMDM3M15BMl5BanBnXkFtZTcwNDMyMjIyOQ@@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",05 Jun 2008,True,18 min,,"You, Me and Him",movie,N/A,Daniel Ribeiro,2007,tt1166805,6.7,"1,317",,
7,"Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere",Nominated for 1 Oscar. Another 27 wins & 45 nominations.,"$4,000,000","Germany, Canada, USA",06 May 2008,Todd Haynes,,"Biography, Drama, Music, Western",English,73,"Ruminations on the life of Bob Dylan, where six characters embody a different aspect of the musician's life and work.",https://m.media-amazon.com/images/M/MV5BMTY4MzM2MjcwNV5BMl5BanBnXkFtZTcwODg3MDU1MQ@@._V1_SX300.jpg,The Weinstein Co.,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",07 Dec 2007,True,135 min,,I'm Not There,movie,http://www.imnotthere-movie.com/,"Todd Haynes (screenplay), Oren Moverman (screenplay), Todd Haynes (story)",2007,tt0368794,7.0,"53,737",,
8,"Michael Shannon, Douglas Ligon, Barlow Jacobs, Michael Abbott Jr.",5 wins & 5 nominations.,N/A,USA,01 Jul 2008,Jeff Nichols,,"Drama, Thriller",English,76,"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these ...",https://m.media-amazon.com/images/M/MV5BMTU0OTgzMTYyM15BMl5BanBnXkFtZTcwMjk1OTI0MQ@@._V1_SX300.jpg,International Film Circuit,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",26 Mar 2008,True,92 min,,Shotgun Stories,movie,http://www.shotgunstories.com/,Jeff Nichols,2007,tt0952682,7.3,"9,035",,
9,"Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.",2 wins & 67 nominations.,"$33,000,000",USA,24 Jul 2007,David Fincher,,"Crime, Drama, Mystery, Thriller",English,78,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",https://m.media-amazon.com/images/M/MV5BN2UwNDc5NmEtNjVjZS00OTI5LWE5YjctMWM3ZjBiZGYwMGI2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",02 Mar 2007,True,157 min,,Zodiac,movie,http://www.ZodiacMovie.com/,"James Vanderbilt (screenplay), Robert Graysmith (book)",2007,tt0443706,7.7,"385,410",,
