,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Sharlto Copley, Dev Patel, Ninja, Yo-Landi Visser",3 nominations.,N/A,"South Africa, USA",16 Jun 2015,Neill Blomkamp,,,"Action, Crime, Drama, Sci-Fi, Thriller",English,41,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",https://m.media-amazon.com/images/M/MV5BMTUyNTI4NTIwNl5BMl5BanBnXkFtZTgwMjQ4MTI0NDE@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",06 Mar 2015,True,120 min,,Chappie,movie,http://www.chappie-movie.com/,"Neill Blomkamp, Terri Tatchell",2015,tt1823672,6.8,"211,719",,
1,"Reina Triendl, Mariko Shinoda, Erina Mano, Yuki Sakurai",2 wins.,N/A,Japan,N/A,Sion Sono,,,"Action, Fantasy, Horror, Mystery",Japanese,N/A,A girl's life cascades into chaos as everyone around her suffers a gruesome fate while she becomes less certain of who she is and her once-once normal.,https://m.media-amazon.com/images/M/MV5BMzU1MDllNGItMDhlMS00NzU0LWI5ZjMtMWM3ZDk0MjY2MjVhXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",11 Jul 2015,True,85 min,,Tag,movie,N/A,"Yûsuke Yamada (based on the original story by), Sion Sono",2015,tt4439120,6.1,"4,077",,
2,"Lance Henriksen, Camille Balsamo, Matt Winston, Reid Collums",N/A,N/A,USA,01 Sep 2015,Alec Gillis,,,"Horror, Sci-Fi",English,N/A,"While studying the effects of global warming on a pod of whales, grad students on a crabbing vessel and its crew uncover frozen Soviet space shuttle and unintentionally release a monstrous organism from it.",https://m.media-amazon.com/images/M/MV5BMTQ4NDYyNzM5M15BMl5BanBnXkFtZTgwNDI0MjY0NjE@._V1_SX300.jpg,Vertical Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",07 Aug 2015,True,82 min,,Harbinger Down,movie,http://www.harbingerdown.com/,Alec Gillis,2015,tt3397918,4.5,"4,929",,
3,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Won 1 Oscar. Another 7 wins & 32 nominations.,"$208,777,731","UK, USA",09 Feb 2016,Sam Mendes,,,"Action, Adventure, Thriller","English, Spanish, Italian, German, French",60,"A cryptic message from 007's past sends him pitted against a mysterious terrorist organization called Spectre, and learns of its involvement in previous events of his most dangerous missions.",https://m.media-amazon.com/images/M/MV5BOWQ1MDE1NzgtNTQ4OC00ZjliLTllZDAtN2IyOTVmMTc5YjUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",06 Nov 2015,True,148 min,,Spectre,movie,http://www.007.com/,"John Logan (screenplay by), Neal Purvis (screenplay by), Robert Wade (screenplay by), Jez Butterworth (screenplay by), John Logan (story by), Neal Purvis (story by), Robert Wade (story by), Ian Fleming (based on characters created by)",2015,tt2379713,6.8,"347,646",,
4,"Tom Schilling, Wilson Gonzalez, Emilia Schüle, Frederick Lau",1 nomination.,N/A,Germany,N/A,Oskar Roehler,,,"Comedy, Crime, Drama","German, English",N/A,"1980: 19 year old Robert, fed up with Hippy phoniness and bourgeoise narrow mindedness alike, flees the German provinces for West Berlin. A tour de force through the glorious dirt of West Berlin ensues. Full of sex, drugs, love and PUNK.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAzOTEyNDIzNTdeQTJeQWpwZ15BbWU4MDg0MjE2NjYx._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",26 Mar 2015,True,104 min,,Punk Berlin 1982,movie,N/A,Oskar Roehler,2015,tt3397082,5.7,558,,
5,"Tom Dewispelaere, Alex van Warmerdam, Maria Kraakman, Gene Bervoets",1 win & 18 nominations.,N/A,Netherlands,25 Oct 2016,Alex van Warmerdam,,,"Comedy, Thriller",Dutch,N/A,"On his birthday, a hitman reluctantly takes on the easy task of killing a writer, only to find the job a lot more difficult than expected.",https://m.media-amazon.com/images/M/MV5BMzIyNDI5MDM1N15BMl5BanBnXkFtZTgwMjM0ODk1NTE@._V1_SX300.jpg,Graniet Film BV,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",28 May 2015,True,96 min,,Schneider vs. Bax,movie,N/A,Alex van Warmerdam,2015,tt3430416,6.7,"2,472",,
6,"Saoirse Ronan, Hugh Gormley, Brid Brennan, Maeve McGrath",Nominated for 3 Oscars. Another 37 wins & 152 nominations.,"$30,459,009","UK, Canada, Ireland, Belgium",15 Mar 2016,John Crowley,,,"Drama, Romance","English, Latin, Irish",88,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",https://m.media-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,Fox Searchlight Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",25 Nov 2015,True,117 min,,Brooklyn,movie,http://www.brooklyn-themovie.com,"Nick Hornby, Colm Tóibín (novel)",2015,tt2381111,7.5,"115,318",,
7,"Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple",Nominated for 1 Golden Globe. Another 7 wins & 39 nominations.,"$123,087,120",USA,23 Feb 2016,Peter Sohn,,,"Animation, Adventure, Comedy, Drama, Family, Fantasy",English,66,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",https://m.media-amazon.com/images/M/MV5BMTc5MTg2NjQ4MV5BMl5BanBnXkFtZTgwNzcxOTY5NjE@._V1_SX300.jpg,Disney/Pixar,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",25 Nov 2015,True,93 min,,The Good Dinosaur,movie,http://movies.disney.com/the-good-dinosaur,"Bob Peterson (original concept & development by), Peter Sohn (story by), Erik Benson (story by), Meg LeFauve (story by), Kelsey Mann (story by), Bob Peterson (story by), Meg LeFauve (screenplay by), Peter Hedges (additional screenplay material by), Adrian Molina (additional screenplay material by)",2015,tt1979388,6.7,"90,525",,
8,"Anke Engelke, Milo Parker, Bastian Pastewka, Karoline Herfurth",2 nominations.,N/A,"Germany, Austria, Ireland",N/A,Tobi Baumann,,,"Animation, Adventure, Comedy, Family, Fantasy","German, English",N/A,"They couldn't be more different, the members of the trio that allies in the fight against an Ancient Ice Ghost (AIG): Tom, an easily scared boy, Hetty, a professional ghosthunter and the ...",https://m.media-amazon.com/images/M/MV5BMjI3ODM1MzczN15BMl5BanBnXkFtZTgwNzI3MjM5NDE@._V1_SX300.jpg,Lucky Birds Media,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}]",02 Apr 2015,True,99 min,,Ghosthunters: On Icy Trails,movie,N/A,"Tobi Baumann (screenplay), Murmel Clausen (screenplay), Cornelia Funke (based on a novel by), Mike O'Leary (additional material), Martin Ritzenhoff (screenplay), Roland Slawik (screenplay), Christian Tramitz (screenplay)",2015,tt3711622,5.5,719,,
9,"Ken Blackburn, Mark Bonnar, Stuart Bowman, Emily-Jane Boyle",2 wins & 12 nominations.,N/A,"UK, Luxembourg",N/A,Terence Davies,,,Drama,"English, Scots",72,The daughter of a Scottish farmer comes of age in the early 1900s.,https://m.media-amazon.com/images/M/MV5BMTAzOTEwNzAyNTJeQTJeQWpwZ15BbWU4MDgyNzE2OTcx._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '72/100'}]",04 Dec 2015,True,135 min,,Sunset Song,movie,N/A,"Lewis Grassic Gibbon (novel), Terence Davies (screenplay)",2015,tt2262161,6.4,"2,876",,
