,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,"Gwyneth Paltrow, James Cosmo, Greta Scacchi, Alan Cumming",Won 1 Oscar. Another 2 wins & 7 nominations.,N/A,"UK, USA",02 Nov 1999,Douglas McGrath,"Comedy, Drama, Romance",English,66,"While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love.",https://m.media-amazon.com/images/M/MV5BN2E1YTUzZDAtODQ2YS00MWNjLWEzMzAtZjgwY2M3ZTcwOTJhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,A&amp;E Television Networks,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '66/100'}]",30 Aug 1996,True,120 min,Emma,movie,N/A,"Jane Austen (novel), Douglas McGrath (screenplay)",1996,tt0116191,6.7,"32,288",
1,"Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal",Nominated for 2 Oscars. Another 4 wins & 9 nominations.,N/A,USA,20 Jan 1998,Barbra Streisand,"Comedy, Drama, Romance",English,N/A,"A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",https://m.media-amazon.com/images/M/MV5BNGQ2YjJjYmUtNTg5Mi00MWUxLWE2MDAtOGI0NmYzMThiMzViXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",15 Nov 1996,True,126 min,The Mirror Has Two Faces,movie,N/A,"André Cayatte (screenplay ""Le Miroir a Deux Faces""), Gérard Oury (screenplay ""Le Miroir a Deux Faces""), Richard LaGravenese (screen story), Richard LaGravenese (screenplay)",1996,tt0117057,6.5,"13,443",
2,"Maggie Cheung, Jean-Pierre Léaud, Nathalie Richard, Antoine Basler",2 wins & 3 nominations.,N/A,France,31 Mar 1998,Olivier Assayas,"Comedy, Drama","French, English",N/A,"A Chinese movie actress, in France to star in a remake of ""Les Vampires"", finds petty intrigues and clashing egos on the set.",https://m.media-amazon.com/images/M/MV5BMjExNzc4MjkyM15BMl5BanBnXkFtZTcwNzUyNDUwMg@@._V1_SX300.jpg,Dacia Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",30 Apr 1997,True,99 min,Irma Vep,movie,N/A,Olivier Assayas,1996,tt0116650,7.0,"4,518",
3,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger",8 wins & 4 nominations.,"$3,168,660","Canada, UK",17 Nov 1998,David Cronenberg,Drama,"English, Swedish",47,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",https://m.media-amazon.com/images/M/MV5BZjlhMDBlNDQtMjZkZi00NzJmLWI4MTgtZDdkMzZmZDcyZGNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Fine Line Features,NC-17,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",21 Mar 1997,True,100 min,Crash,movie,N/A,"J.G. Ballard (novel), David Cronenberg",1996,tt0115964,6.4,"47,474",
4,"Leslie Nielsen, Nicollette Sheridan, Charles Durning, Marcia Gay Harden",N/A,N/A,USA,13 Jul 1999,Rick Friedberg,"Action, Comedy","English, French, Spanish",25,"Dick Steele, Agent WD-40 is assigned by his Director, to stop the evil General Rancor from destroying the world. WD-40 believed Rancor was dead and he teams up with the hot K.G.B. Agent Veronique Ukrinsky to find Rancor and save the world.",https://m.media-amazon.com/images/M/MV5BOGFmYWFiZDAtZTc1YS00ZTIxLTkwODctODc0MzUzNGIyNzgwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Hollywood Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",24 May 1996,True,81 min,Spy Hard,movie,N/A,"Jason Friedberg (story), Aaron Seltzer (story), Rick Friedberg (screenplay), Dick Chudnow (screenplay), Jason Friedberg (screenplay), Aaron Seltzer (screenplay)",1996,tt0117723,5.3,"33,700",
5,"Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney",Nominated for 1 Oscar. Another 5 wins & 6 nominations.,N/A,USA,29 Apr 1997,Carroll Ballard,"Adventure, Drama, Family",English,N/A,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_SX300.jpg,Columbia TriStar,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",13 Sep 1996,True,107 min,Fly Away Home,movie,N/A,"Bill Lishman (autobiography), Robert Rodat (screenplay), Vince McKewin (screenplay)",1996,tt0116329,6.8,"21,900",
6,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd",Nominated for 1 Oscar. Another 23 wins & 33 nominations.,N/A,UK,24 Mar 1998,Danny Boyle,Drama,English,83,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",https://m.media-amazon.com/images/M/MV5BMzA5Zjc3ZTMtMmU5YS00YTMwLWI4MWUtYTU0YTVmNjVmODZhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Miramax Films,R,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",09 Aug 1996,True,93 min,Trainspotting,movie,http://www.miramax.com/movie/trainspotting/,"Irvine Welsh (based on the novel by), John Hodge (screenplay)",1996,tt0117951,8.2,"583,033",
7,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",Nominated for 1 Oscar. Another 8 wins & 20 nominations.,N/A,USA,06 Oct 1998,Jonathan Frakes,"Action, Adventure, Drama, Sci-Fi, Thriller",English,71,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochran makes his maiden flight reaching warp speed.,https://m.media-amazon.com/images/M/MV5BYTllZjRkY2QtYTJlMy00ZTMxLWE0YWQtMWMwYzY2YTM3YzRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Paramount Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",22 Nov 1996,True,111 min,Star Trek: First Contact,movie,N/A,"Gene Roddenberry (television series Star Trek), Rick Berman (story), Brannon Braga (story), Ronald D. Moore (story), Brannon Braga (screenplay), Ronald D. Moore (screenplay)",1996,tt0117731,7.6,"109,294",
8,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton, Brian Cox",N/A,N/A,USA,27 Aug 1997,John Gray,"Action, Comedy, Crime, Drama, Thriller","English, Chinese, Russian",33,"Two cops, played by Seagal and Wayans, are forced to work together to solve a chain of mysterious killings by a killer nicknamed ""The Family Man"".",https://m.media-amazon.com/images/M/MV5BYzgzZWY4YWMtMTQ4Yi00ZGQ4LTg4YjItNGNhMGM0ZWViNmY3XkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_SX300.jpg,Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",04 Oct 1996,True,91 min,The Glimmer Man,movie,N/A,Kevin Brodbin,1996,tt0116421,5.4,"17,449",
9,"Hiroshi Mikami, Chara, Ayumi Itô, Yôsuke Eguchi",4 wins & 8 nominations.,N/A,Japan,N/A,Shunji Iwai,"Crime, Drama","Japanese, English, Mandarin",N/A,"The struggles of a group of immigrant outcasts living in an alternative-future, xenophobic Japanese metropolis.",https://m.media-amazon.com/images/M/MV5BNzY1YzdlYjUtOGIzMy00ODczLWFjZTgtODMzODM1NGUyZDg4XkEyXkFqcGdeQXVyMzYwMjk1NzI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",14 Sep 1996,True,148 min,Swallowtail Butterfly,movie,N/A,Shunji Iwai,1996,tt0117797,7.7,"2,969",
