,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew",4 nominations.,"$31,136,950","USA, Canada",09 Nov 2010,Burr Steers,,"Drama, Fantasy, Romance",English,37,"Charlie's brother, Sam, dies in a car crash that Charlie survives. Charlie is given the gift of seeing his dead brother and others who he has lost such as his friend who died in the military, but when the girl he falls in love with's life is at risk, he must choose between his girlfriend and his brother.",https://m.media-amazon.com/images/M/MV5BMTI4MjkyNDM2NV5BMl5BanBnXkFtZTcwOTExNDc0Mw@@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",30 Jul 2010,True,99 min,,Charlie St. Cloud,movie,http://www.charliestcloud.com,"Craig Pearce (screenplay), Lewis Colick (screenplay), Ben Sherwood (novel)",2010,tt1438254,6.5,"54,259",,
1,"Alex Di Dio, Kevin E. Smith, Joe Conti, Carlos Abrieu",N/A,N/A,USA,16 Nov 2010,Douglas Langway,,"Comedy, Romance",English,38,"Set in New York's gay ""bear"" scene and taking a cue from the popular HBO franchise ""Sex and the City,"" BearCity follows a tight-knit pack of friends experiencing comical mishaps, ...",https://m.media-amazon.com/images/M/MV5BMTI4NTg1NDA5MF5BMl5BanBnXkFtZTcwNDE0Mjc1Mw@@._V1_SX300.jpg,Cinedigm,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",11 Jun 2010,True,104 min,,BearCity,movie,http://www.bearcitythemovie.com/,"Douglas Langway, Lawrence Ferber",2010,tt1426320,6.0,"1,284",,
2,"Gérard Depardieu, Gisèle Casadesus, Maurane, Sophie Guillemin",1 win.,"$24,584",France,19 Jun 2012,Jean Becker,,"Comedy, Drama","French, Flemish",59,A semi-literate and lonely odd-job man bonds with a much older and well-read woman.,https://m.media-amazon.com/images/M/MV5BNmU1OTgxMDgtY2FkYy00ZTUwLTgwY2EtMGQ3YzRkMGYxNmQxXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,Cohen Media Group,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",16 Sep 2011,True,82 min,,My Afternoons with Margueritte,movie,http://www.studiocanal.com/tous-nos-films/films-drame/cid13010/la-tete-en-friche,"Jean Becker (screenplay), Jean-Loup Dabadie (screenplay), Marie-Sabine Roger (book)",2010,tt1455151,7.2,"6,287",,
3,"Ed Gaughan, Andrew Buckley, Tuppence Middleton, Paprika Steen",Nominated for 1 BAFTA Film Award. Another 6 nominations.,N/A,UK,19 Oct 2010,Nick Whitfield,,"Comedy, Drama, Fantasy","English, Bulgarian",N/A,Two exorcists literally remove the skeletons from the cupboards from people's homes. Some fairly embarrassing secrets are revealed along the way. A case where the skeletons have hidden themselves turns the lives of all those involved.,https://m.media-amazon.com/images/M/MV5BMzkxMzIzODUxNF5BMl5BanBnXkFtZTcwOTMwNDM2Mw@@._V1_SX300.jpg,Indiepix,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",02 Jul 2010,True,94 min,,Skeletons,movie,N/A,"Nick Whitfield, Andrew Buckley (Additional script dialogue), Ed Gaughan (Additional script dialogue)",2010,tt1425933,6.8,"1,746",,
4,"Amanda Seyfried, Marcia DeBonis, Gael García Bernal, Giordano Formenti",6 nominations.,"$53,021,560",USA,14 Sep 2010,Gary Winick,,"Adventure, Comedy, Drama, Romance","English, Italian, Spanish",50,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet"".",https://m.media-amazon.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,Summit Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",14 May 2010,True,105 min,,Letters to Juliet,movie,http://LettersToJuliet-Movie.com/,"Jose Rivera, Tim Sullivan",2010,tt0892318,6.6,"85,523",,
5,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal",2 wins & 6 nominations.,"$26,200,000",USA,04 Jan 2011,"Ethan Maniquis, Robert Rodriguez",,"Action, Crime, Thriller","English, Spanish, Hungarian",60,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",https://m.media-amazon.com/images/M/MV5BZWUxODc2NmItNThkNS00Mzc4LThlYTQtOTYwZjVhYjRiNmMwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",03 Sep 2010,True,105 min,,Machete,movie,http://www.vivamachete.com/,"Robert Rodriguez, Álvaro Rodríguez",2010,tt0985694,6.6,"181,031",,
6,"Quim Gutiérrez, Angie Cepeda, Juana Acosta, Eduardo Blanco",N/A,N/A,"Spain, Colombia",N/A,David Serrano,,"Comedy, Musical",Spanish,N/A,"Claudia is an attractive and enterprising thirties forming an ideal family with her husband and son. Her life is perfect, even she has a handsome lover named Paul who takes phenomenal. ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3Njg4NTczMl5BMl5BanBnXkFtZTcwNTM3MjU4Nw@@._V1_SX300.jpg,Vertice Cine,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",16 Jul 2010,True,96 min,,Una hora más en Canarias,movie,N/A,"Olga Iglesias, David Serrano",2010,tt1161411,4.9,321,,
7,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",1 win & 10 nominations.,"$90,755,643",USA,14 Sep 2010,Mike Newell,,"Action, Adventure, Fantasy, History, Romance, Sci-Fi",English,50,A young fugitive Prince and Princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,https://m.media-amazon.com/images/M/MV5BMTMwNDg0NzcyMV5BMl5BanBnXkFtZTcwNjg4MjQyMw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",28 May 2010,True,116 min,,Prince of Persia: The Sands of Time,movie,http://Disney.com/PrinceOfPersia,"Boaz Yakin (screenplay), Doug Miro (screenplay), Carlo Bernard (screenplay), Jordan Mechner (screen story), Jordan Mechner (video game series ""Prince of Persia"")",2010,tt0473075,6.6,"252,040",,
8,"Dan Aykroyd, Justin Timberlake, Anna Faris, Tom Cavanagh",2 wins & 1 nomination.,"$100,169,068","USA, New Zealand",22 Mar 2011,Eric Brevig,,"Animation, Adventure, Comedy, Family",English,35,"A documentary filmmaker travels to Jellystone Park to shoot a project and soon crosses paths with Yogi Bear, his sidekick Boo-Boo and Ranger Smith.",https://m.media-amazon.com/images/M/MV5BMTczMjU1NTQ0M15BMl5BanBnXkFtZTcwMjIxMTA3Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",17 Dec 2010,True,80 min,,Yogi Bear,movie,http://yogibear.warnerbros.com/,"J.R. Ventimilia, Joshua Sternin, Brad Copeland, Joseph Barbera (characters), William Hanna (characters)",2010,tt1302067,4.6,"18,774",,
9,"James McAvoy, Robin Wright, Kevin Kline, Evan Rachel Wood",2 wins & 3 nominations.,"$11,538,204",USA,16 Aug 2011,Robert Redford,,"Crime, Drama, History",English,55,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",https://m.media-amazon.com/images/M/MV5BMTczMDI0MzQ3MV5BMl5BanBnXkFtZTcwMjU5NTc0NA@@._V1_SX300.jpg,Roadside Attractions,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",15 Apr 2011,True,122 min,,The Conspirator,movie,http://www.conspiratorthemovie.com/,"James D. Solomon, James D. Solomon (story), Gregory Bernstein (story)",2010,tt0968264,6.9,"26,296",,
