,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Anthony Perkins, Arnoldo Foà, Jess Hahn, Billy Kearns",1 win.,N/A,"France, West Germany, Italy",07 Feb 2006,Orson Welles,,"Drama, Mystery, Thriller",English,N/A,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",https://m.media-amazon.com/images/M/MV5BMTA3ODI2Nzc0ODVeQTJeQWpwZ15BbWU3MDM2MTE5NjE@._V1_SX300.jpg,Gibraltar Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",22 Dec 1962,True,119 min,,The Trial,movie,N/A,"Pierre Cholot (adaptation), Franz Kafka (based on the novel by), Orson Welles",1962,tt0057427,7.8,"16,772",,
1,"Corinne Marchand, Antoine Bourseiller, Dominique Davray, Dorothée Blanck",1 win & 1 nomination.,N/A,"France, Italy",16 May 2000,Agnès Varda,,"Comedy, Drama, Music",French,N/A,"Cleo, a singer and hypochondriac, becomes increasingly worried that she might have cancer while awaiting test results from her doctor.",https://m.media-amazon.com/images/M/MV5BZjJhNGIyZWMtOTE0NS00M2RmLWIwOTEtYzdmYWM3ZTE5NjM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,Zenith International Films,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",11 Apr 1962,True,90 min,,Cleo from 5 to 7,movie,N/A,Agnès Varda,1962,tt0055852,8.0,"11,493",,
2,"Cary Grant, Doris Day, Gig Young, Audrey Meadows",Nominated for 3 Oscars. Another 6 wins & 2 nominations.,N/A,USA,18 Sep 2001,Delbert Mann,,"Comedy, Romance",English,N/A,"A rich businessman and a young woman are attracted to each other, but he only wants an affair while she wants to save herself for marriage.",https://m.media-amazon.com/images/M/MV5BMjI4NDIwODI4NF5BMl5BanBnXkFtZTgwMDQ2NjQzMTE@._V1_SX300.jpg,Universal,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",19 Oct 1962,True,99 min,,That Touch of Mink,movie,N/A,"Stanley Shapiro, Nate Monaster",1962,tt0056575,6.7,"7,631",,
3,"Anne Bancroft, Victor Jory, Inga Swenson, Andrew Prine",Won 2 Oscars. Another 9 wins & 11 nominations.,N/A,USA,06 Mar 2001,Arthur Penn,,"Biography, Drama","English, American Sign Language",N/A,The story of Anne Sullivan's struggle to teach the blind and deaf Helen Keller how to communicate.,https://m.media-amazon.com/images/M/MV5BMTQzODc4MTE1MF5BMl5BanBnXkFtZTcwMjYyODI1NA@@._V1_SX300.jpg,MGM Home Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",28 Jul 1962,True,106 min,,The Miracle Worker,movie,N/A,"William Gibson (screenplay), William Gibson (based upon the stage play by)",1962,tt0056241,8.1,"14,390",,
4,"Michael Redgrave, Tom Courtenay, Avis Bunnage, Alec McCowen",Won 1 BAFTA Film Award. Another 4 wins & 2 nominations.,N/A,UK,13 Feb 2007,Tony Richardson,,"Drama, Sport",English,N/A,"A juvenile offender at a tough reform school impresses its governor with his running ability and is encouraged to compete in an upcoming race, but faces ridicule from his peers.",https://m.media-amazon.com/images/M/MV5BOTAyYzRhMzctY2JlNC00YzE5LWI0NDgtMmNkN2NjYTVkNWI3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,Continental,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",08 Oct 1962,True,104 min,,The Loneliness of the Long Distance Runner,movie,N/A,"Alan Sillitoe (screenplay), Alan Sillitoe (short story)",1962,tt0056194,7.7,"6,947",,
5,"Jacques Dufilho, Yvette Etiévant, Michel Galabru, Michèle Méritz",1 win.,N/A,France,08 Sep 2009,Yves Robert,,"Comedy, Family",French,N/A,The school boys of two villages in France are fighting. Their trophy are the buttons they will snatch from the enemy. This fight will bring those kids to everlasting friendship...eventually.,https://m.media-amazon.com/images/M/MV5BMjE1Mzk5MDcxNl5BMl5BanBnXkFtZTgwMDE4NzA1MTE@._V1_SX300.jpg,Comet Films,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",18 Apr 1962,True,90 min,,War of the Buttons,movie,N/A,"Louis Pergaud (novel), François Boyer (adaptation)",1962,tt0054949,7.5,"2,138",,
6,"Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord",Won 1 Golden Globe. Another 1 win & 4 nominations.,N/A,UK,22 Oct 2002,Terence Young,,"Action, Adventure, Thriller","English, French",78,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,https://m.media-amazon.com/images/M/MV5BMTk4YzdjOTgtNjM4NS00YjljLThhM2QtYTI3OTQ0OGVhNTMxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,United Artists,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",07 Oct 1962,True,110 min,,Dr. No,movie,N/A,"Richard Maibaum (screenplay), Johanna Harwood (screenplay), Berkely Mather (screenplay), Ian Fleming (novel)",1962,tt0055928,7.3,"132,755",,
7,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",Won 3 Oscars. Another 10 wins & 16 nominations.,N/A,USA,28 Apr 1998,Robert Mulligan,,"Crime, Drama",English,87,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Universal International Pictur,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",16 Mar 1963,True,129 min,,To Kill a Mockingbird,movie,N/A,"Harper Lee (based on her novel ""To Kill a Mockingbird""), Horton Foote (screenplay)",1962,tt0056592,8.3,"267,410",,
8,"Hardy Krüger, Nicole Courcel, Patricia Gozzi, Daniel Ivernel",Won 1 Oscar. Another 4 wins & 2 nominations.,N/A,"France, Austria",29 Sep 2014,Serge Bourguignon,,Drama,French,N/A,"After killing a child when his plane crashes in a Vietnamese village, Pierre suffers from delayed stress and partial amnesia. Returning to France, he lives like a vegetable until he meets a...",https://images-na.ssl-images-amazon.com/images/M/MV5BZjg0YWNjOWYtODdmZC00ODI5LWFiYWUtMGVmZjMwNDdlZDk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",21 Nov 1962,True,110 min,,Sundays and Cybèle,movie,N/A,"Serge Bourguignon (scenario), Antoine Tudal (scenario), Bernard Eschassériaux (novel), Serge Bourguignon (dialogue), Bernard Eschassériaux (dialogue)",1962,tt0055910,7.8,"2,194",,
9,"Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury",Nominated for 2 Oscars. Another 5 wins & 6 nominations.,N/A,USA,15 May 2001,John Frankenheimer,,"Drama, Thriller",English,94,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,https://m.media-amazon.com/images/M/MV5BOTY0ZTA1ZjUtN2MyNi00ZGRmLWExYmMtOTkyNzI1NGQ2Y2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM/UA Classics,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",24 Oct 1962,True,126 min,,The Manchurian Candidate,movie,http://www.mgm.com/title_title.php?title_star=MANCHURI,"Richard Condon (based upon a novel by), George Axelrod (screenplay)",1962,tt0056218,8.0,"67,160",,
