,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
0,"Annie Hartley, Adolphe Le Prince, Joseph Whitley, Sarah Whitley",N/A,N/A,"UK, France",N/A,Louis Aimé Augustin Le Prince,"Documentary, Short",N/A,N/A,"In the garden, a man asks his friends to do something silly for him to record on film.",https://m.media-amazon.com/images/M/MV5BOGE3YjczMTQtZTAwNi00Y2ZkLWIxZjYtZGFkMWY2ZTM3YTU5XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",14 Oct 1888,True,1 min,Roundhay Garden Scene,movie,N/A,N/A,1888,tt0392728,7.5,"4,609"
1,N/A,N/A,N/A,France,N/A,Émile Reynaud,"Animation, Comedy, Short",N/A,N/A,"One night, Arlequin come to see his lover Colombine. But then Pierrot knocks at the door and Colombine and Arlequin hide. Pierrot starts singing but Arlequin scares him and the poor man goes away.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGRkODFmNjYtYjU2Yy00YTI1LWFlYzgtNGE0YTdmNjI0ZDk0XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",28 Oct 1892,True,4 min,Pauvre Pierrot,movie,N/A,N/A,1892,tt0000003,6.6,860
2,"François Clerc, Benoît Duval",N/A,N/A,France,N/A,Louis Lumière,"Comedy, Short",N/A,N/A,"A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why...",https://images-na.ssl-images-amazon.com/images/M/MV5BMDMxMGI2ODctMjI2OS00YmQ5LWJjNmMtMTlhNDdmODIzMzg4XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,True,1 min,Tables Turned on the Gardener,movie,N/A,N/A,1895,tt0000014,7.2,"3,500"
3,Mrs. Robert L. Thomas,N/A,N/A,USA,N/A,Alfred Clark,"Short, History, Horror",N/A,N/A,"This short film, one of the first to use camera tricks, depicts the execution of Mary, Queen of Scots.",https://m.media-amazon.com/images/M/MV5BNmViYTY5MmUtY2JhOS00YjhkLWFjODctOGQzNDFlMTVlN2QyXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",28 Aug 1895,True,1 min,"The Execution of Mary, Queen of Scots",movie,N/A,N/A,1895,tt0132134,6.7,"1,543"
4,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Horror",N/A,N/A,"A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",https://images-na.ssl-images-amazon.com/images/M/MV5BZWU5OTVlZmItZDAzYy00MTM5LTgyZGUtYzUwYjMwOWM3ZDRiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,True,1 min,A Terrible Night,movie,N/A,N/A,1896,tt0000131,5.8,730
5,"Jehanne d'Alcy, Jules-Eugène Legris, Georges Méliès",N/A,N/A,France,N/A,Georges Méliès,"Short, Horror",N/A,N/A,"With the help of a magic cauldron, Mephistopheles conjures up a variety of supernatural characters.",https://m.media-amazon.com/images/M/MV5BY2RkZDBmNjEtYzdhMC00ODg4LWEwN2EtMmJlMTM4MGQwMGQxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,True,3 min,The House of the Devil,movie,N/A,Georges Méliès,1896,tt0000091,6.7,"2,149"
6,"Alice Guy, Germaine Serand, Yvonne Serand",N/A,N/A,France,N/A,Alice Guy,"Short, Family, Fantasy",N/A,N/A,"The first film directed by a female director, ""The Cabbage Fairy"" presents a brief fantasy tale involving a strange fairy who can produce and deliver babies coming out of cabbages. Gently ...",https://images-na.ssl-images-amazon.com/images/M/MV5BYWFjZjgxMmItZTI5Yy00MGMyLWE2NWMtNzI1ODNkMWE4NjUwXkEyXkFqcGdeQXVyMjM3ODA2NDQ@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,True,1 min,La fée aux choux,movie,N/A,Alice Guy,1896,tt0223341,5.2,660
7,"Madeleine Koehler, Marcel Koehler, Mrs. Auguste Lumiere, Jeanne-Joséphine Lumière",N/A,N/A,France,N/A,"Auguste Lumière, Louis Lumière","Documentary, Short",N/A,N/A,A train arrives at La Ciotat station.,https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",25 Jan 1896,True,1 min,The Arrival of a Train,movie,N/A,N/A,1896,tt0000012,7.4,"8,621"
8,"Jehanne d'Alcy, Georges Méliès",N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy, Fantasy",N/A,N/A,An astronomer falls asleep and has a strange dream involving a fairy queen and the Moon.,https://images-na.ssl-images-amazon.com/images/M/MV5BYmMwZTIwYTEtNDcxZi00NThlLWE2YmYtZmZlNGQzYzZlMDc1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,True,3 min,A Trip to the Moon,movie,N/A,Georges Méliès (creator),1898,tt0000211,7.5,"2,351"
9,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Comedy",N/A,N/A,"One of the greatest of black art pictures. The conjurer appears before the audience, with his head in its proper place. He then removes his head, and throwing it in the air, it appears on ...",https://images-na.ssl-images-amazon.com/images/M/MV5BN2EyYWY4MTEtMWQyYy00MWRkLWJiNTItMTJiYjViOGI4YzlhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",28 Nov 2009,True,1 min,Four Heads Are Better Than One,movie,N/A,N/A,1898,tt0135696,7.6,"2,210"
10,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,"Short, Drama",N/A,N/A,The pious St. Anthony is tormented by visions of seductive women.,https://images-na.ssl-images-amazon.com/images/M/MV5BMGMxOWNiMmYtMGI0Ny00N2NmLWEwZmItY2ZlYTljNzZjOTZlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,True,1 min,The Temptation of St. Anthony,movie,N/A,N/A,1898,tt0224240,6.0,528
11,"Mlle Barral, Bleuette Bernon, Carmelli, Jehanne d'Alcy",N/A,N/A,France,N/A,Georges Méliès,"Short, Drama, Fantasy",N/A,N/A,"A fairy godmother magically turns Cinderella's rags to a beautiful dress, and a pumpkin into a coach. Cinderella goes to the ball, where she meets the Prince - but will she remember to leave before the magic runs out?",https://m.media-amazon.com/images/M/MV5BODA0NDg4ODYtZTFkYy00ZGVkLWIzMTgtZmJjNzU4YmE2YjBiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",25 Dec 1899,True,6 min,Cinderella,movie,N/A,"Charles Perrault (story ""Cinderella"")",1899,tt0000230,6.5,"1,088"
12,Georges Méliès,N/A,N/A,France,N/A,Georges Méliès,Short,None,N/A,A magician and his assistant perform numerous magic acts.,https://m.media-amazon.com/images/M/MV5BMDQ4Mjk5MmYtNDAxYi00N2VlLWEyOTItNzg0YWI5MTMwYmRjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,True,1 min,A Turn of the Century Illusionist,movie,N/A,N/A,1899,tt0000246,6.5,786
