oscaryear,oscartitle,wonoscar,movieyear
2019,"""Green Book""",1,2018
2018,"""The Shape of Water""",1,2017
2017,"""Moonlight""",1,2016
2016,"""Spotlight""",1,2015
2015,"""Birdman""",1,2014
2014,"""12 Years a Slave""",1,2013
2013,"""Argo""",1,2012
2012,"""The Artist""",1,2011
2011,"""The King's Speech""",1,2010
2010,"""The Hurt Locker""",1,2009
2009,"""Slumdog Millionaire""",1,2008
2008,"""No Country for Old Men""",1,2007
2007,"""The Departed""",1,2006
2006,"""Crash""",1,2005
2005,"""Million Dollar Baby""",1,2004
2004,"""The Lord of the Rings: The Return of the King""",1,2003
2003,"""Chicago""",1,2002
2002,"""A Beautiful Mind""",1,2001
2001,"""Gladiator""",1,2000
2000,"""American Beauty""",1,1999
1999,"""Shakespeare in Love""",1,1998
1998,"""Titanic""",1,1997
1997,"""The English Patient""",1,1996
1996,"""Braveheart""",1,1995
1995,"""Forrest Gump""",1,1994
1994,"""Schindler’s List""",1,1993
1993,"""Unforgiven""",1,1992
1992,"""The Silence of the Lambs""",1,1991
1991,"""Dances With Wolves""",1,1990
1990,"""Driving Miss Daisy""",1,1989
1989,"""Rain Man""",1,1988
1988,"""The Last Emperor""",1,1987
1987,"""Platoon""",1,1986
1986,"""Out of Africa""",1,1985
1985,"""Amadeus""",1,1984
1984,"""Terms of Endearment""",1,1983
1983,"""Gandhi""",1,1982
1982,"""Chariots of Fire""",1,1981
1981,"""Ordinary People""",1,1980
1980,"""Kramer vs. Kramer""",1,1979
1979,"""The Deer Hunter""",1,1978
1978,"""Annie Hall""",1,1977
1977,"""Rocky""",1,1976
1976,"""One Flew over the Cuckoo's Nest""",1,1975
1975,"""The Godfather Part II""",1,1974
1974,"""The Sting""",1,1973
1973,"""The Godfather""",1,1972
1972,"""The French Connection""",1,1971
1971,"""Patton""",1,1970
1970,"""Midnight Cowboy""",1,1969
1969,"""Oliver!""",1,1968
