,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Richard Harrison, Jung-Lee Hwang, Jonathan Wattis, Maria Francesca",N/A,N/A,"Hong Kong, Canada, UK",03 Oct 2006,Godfrey Ho,,"Action, Adventure",English,N/A,"Three martial-arts students search for the Golden Ninja Warrior, a statue reputed to have magic powers.",https://m.media-amazon.com/images/M/MV5BMGZiNTczNWItOTdmYy00OTFjLWIwOWUtMmE3Y2QyNzBmZDJkXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_SX300.jpg,IFD Films and Arts,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",01 Jan 1986,True,88 min,,Ninja Terminator,movie,N/A,"AAV Creative Unit (story), Godfrey Ho (screenplay), Warren See (story)",1985,tt0199849,4.7,988,,
1,"Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey",Nominated for 11 Oscars. Another 14 wins & 12 nominations.,N/A,USA,18 Feb 2003,Steven Spielberg,,Drama,English,78,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,https://m.media-amazon.com/images/M/MV5BZDRkOWQ5NGUtYTVmOS00ZjNhLWEwODgtOGI2MmUxNTBkMjU0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",07 Feb 1986,True,154 min,,The Color Purple,movie,N/A,"Menno Meyjes (screenplay), Alice Walker (novel)",1985,tt0088939,7.8,"70,923",,
2,"Xueqi Wang, Bai Xue, Quiang Liu, Tuo Tan",5 wins & 1 nomination.,N/A,China,29 Aug 1995,Kaige Chen,,"Drama, History, Music",Mandarin,N/A,'Yellow Earth' focuses on the story of a communist soldier who is sent to the countryside to collect folk songs for the Communist Revolution. There he stays with a peasant family and learns...,https://images-na.ssl-images-amazon.com/images/M/MV5BMzMwMzY1OTA3N15BMl5BanBnXkFtZTcwMTgxNjUxMQ@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,True,89 min,,Yellow Earth,movie,N/A,"Kaige Chen, Lan Ke (novel), Ziliang Zhang (screenplay)",1984,tt0087433,7.3,"1,665",,
3,"Val Kilmer, Gabriel Jarret, Michelle Meyrink, William Atherton",2 wins & 2 nominations.,N/A,USA,11 Jun 2002,Martha Coolidge,,"Comedy, Romance, Sci-Fi",English,71,"Teenage geniuses deal with their abilities while developing a high-powered laser for a university project. When their professor intends to turn their work into a military weapon, they decide to ruin his plans.",https://m.media-amazon.com/images/M/MV5BNTQ5MzU3ODg0OF5BMl5BanBnXkFtZTgwODM0MzQxMDE@._V1_SX300.jpg,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",07 Aug 1985,True,108 min,,Real Genius,movie,N/A,"Neal Israel (screenplay), Neal Israel (story), Pat Proft (screenplay), Pat Proft (story), Pj Torokvei",1985,tt0089886,7.0,"27,575",,
4,"Roger Carel, Pierre Tornade, Pierre Mondy, Serge Sauvion",1 win.,N/A,France,N/A,"Gaëtan Brizzi, Paul Brizzi",,"Animation, Adventure, Comedy, Family, Fantasy",French,N/A,"Obelix falls for a new arrival in his home village in Gaul, but is heartbroken when her true love arrives to visit her. However, the lovers are kidnapped by Romans; Asterix and Obelix set ...",https://m.media-amazon.com/images/M/MV5BNjU2N2M3ZTktYTI5ZS00NmI1LWExNmMtYjIwZDNkNDYxYzI5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",30 Jul 1986,True,79 min,,Asterix and Caesar,movie,N/A,"René Goscinny (comic), Albert Uderzo (comic), Pierre Tchernia (adaptation)",1985,tt0088748,6.8,"7,593",,
5,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini",1 nomination.,N/A,USA,18 Aug 1998,Michael Ritchie,,"Comedy, Crime, Mystery",English,68,"Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job and finding clues when it's clear the man is healthy.",https://m.media-amazon.com/images/M/MV5BMzQ4MWI3YTYtNzlkNS00Zjc0LWI5MWItMTQwZDYzMzc1MzQ2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",31 May 1985,True,98 min,,Fletch,movie,N/A,"Gregory McDonald (novel), Andrew Bergman (screenplay)",1985,tt0089155,6.9,"43,419",,
6,"Laureen Chew, Kim Chew, Victor Wong, Ida F.O. Chung",Nominated for 1 BAFTA Film Award. Another 2 nominations.,N/A,USA,24 Jan 2006,Wayne Wang,,Comedy,English,N/A,"In San Francisco, an immigrant Chinese widow welcomes the new year with some unhappiness: she's 62 now, she wants to make a trip to China to pay last respects to her ancestors, a fortune ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MDA0MjQ1NF5BMl5BanBnXkFtZTcwMDUwOTEzMQ@@._V1_SX300.jpg,Orion Classics,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",09 Aug 1985,True,88 min,,Dim Sum: A Little Bit of Heart,movie,N/A,Terrel Seltzer,1985,tt0087150,6.6,314,,
7,"Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands",Won 3 Oscars. Another 21 wins & 23 nominations.,N/A,UK,04 Jul 2000,James Ivory,,"Drama, Romance","English, Italian",80,"When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting...",https://m.media-amazon.com/images/M/MV5BYTEyYmE0M2MtZDQ1OC00MGUxLWI4OGMtM2M1ZjIyNDI0Y2Q4XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,Cinecom Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",11 Apr 1986,True,117 min,,A Room with a View,movie,N/A,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)",1985,tt0091867,7.4,"35,445",,
8,"Laurent Terzieff, Aurelle Doazan, Jean-Pierre Léaud, Nathalie Baye",2 wins & 1 nomination.,N/A,"France, Switzerland",05 Feb 2008,Jean-Luc Godard,,"Comedy, Crime, Drama","French, English, Italian",N/A,"In a palace of Paris. Two detectives are investigating a two-year-old murder. Emile and Francoise Chenal are putting pressure on Jim Fox Warner, a boxing manager, who owes them a huge ...",https://m.media-amazon.com/images/M/MV5BMTYzOGIyZjctM2M0Mi00NDlmLWJiYzgtZmJlZWM4ZDVlZGVjXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,Sara Films,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",23 Aug 1985,True,95 min,,Détective,movie,N/A,"Alain Sarde (screenplay), Philippe Setbon (screenplay), Jean-Luc Godard (adaptation), Alain Sarde (adaptation), Anne-Marie Miéville (adaptation), Philippe Setbon (adaptation), Alain Sarde (dialogue), Philippe Setbon (dialogue), Anne-Marie Miéville (dialogue)",1985,tt0089066,6.1,"1,372",,
9,"Anthony Michael Hall, Kelly LeBrock, Ilan Mitchell-Smith, Bill Paxton",1 nomination.,N/A,USA,10 Oct 2000,John Hughes,,"Comedy, Romance, Sci-Fi",English,46,"Two high school nerds attempt to create the perfect woman, but she turns out to be more than that.",https://m.media-amazon.com/images/M/MV5BNzg1N2JlYWYtMmU3Zi00MzhiLWJiN2EtNzJkZjI1Njc1ZmFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",02 Aug 1985,True,94 min,,Weird Science,movie,N/A,John Hughes,1985,tt0090305,6.6,"71,223",,
