,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Andrew Bennett, Marie Coyne, Tommy Fahy, Michael Harding",1 win & 1 nomination.,N/A,"Ireland, Germany",24 Feb 2014,Pat Collins,,,Drama,"English, Irish",N/A,Eoghan is a sound recordist who is returning to Ireland for the first time in 15 years. His reason for returning is a job offer: to find and record places free from man-made sound. His ...,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MTE4MDYzNV5BMl5BanBnXkFtZTgwNTI4NTAxMzE@._V1_SX300.jpg,Indican Pictures,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",27 Jul 2012,True,87 min,,Silence,movie,http://www.indicanpictures.com/films/drama/silence/,"Pat Collins, Eoghan Mac Giolla Bhríde, Sharon Whooley",2012,tt2275949,6.7,158,,
1,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",4 wins & 7 nominations.,"$67,344,392",USA,04 Jun 2013,John Moore,,,"Action, Thriller","English, Russian, Hindi, Punjabi",28,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",https://m.media-amazon.com/images/M/MV5BMTcwNzgyNzUzOV5BMl5BanBnXkFtZTcwMzAwOTA5OA@@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",14 Feb 2013,True,98 min,,A Good Day to Die Hard,movie,http://www.diehardmovie.com/,"Skip Woods, Roderick Thorp (certain original characters by)",2013,tt1606378,5.3,"186,747",,
2,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",Nominated for 1 BAFTA Film Award. Another 9 wins & 56 nominations.,"$260,300,000",USA,29 Oct 2013,Dan Scanlon,,,"Animation, Adventure, Comedy, Family, Fantasy",English,65,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,Walt Disney Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",21 Jun 2013,True,104 min,,Monsters University,movie,http://www.disney.com/MonstersUniversity,"Dan Scanlon (story by), Daniel Gerson (story by), Robert L. Baird (story by), Daniel Gerson (screenplay by), Robert L. Baird (screenplay by), Dan Scanlon (screenplay by), Adrian Molina (additional screenplay material by)",2013,tt1453405,7.3,"287,514",,
3,"Ana Turpin, Ona Casamiquela, Luisa Gavasa, Jesús Caba",N/A,N/A,Spain,N/A,Juanra Fernández,,,Thriller,Spanish,N/A,"When a Spanish student needs money for her senior trip, she applies for a babysitting job, unaware of the circumstances. Can she stay alive, save her best friend, and still make her senior trip?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MTEzOTI4MF5BMl5BanBnXkFtZTgwNDIxOTA3NjE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",01 Sep 2015,True,75 min,,Para Elisa,movie,N/A,Juanra Fernández,2012,tt2403419,4.2,541,,
4,"Alex Brendemühl, Natalia Oreiro, Diego Peretti, Elena Roger",19 wins & 22 nominations.,"$414,912","Argentina, Spain, Norway, France",16 Sep 2014,Lucía Puenzo,,,"Drama, History, Thriller","Spanish, German, Hebrew",62,"The true story of an Argentine family who lived with Josef Mengele without knowing his true identity, and of a girl who fell in love with one of the biggest criminals of all time.",https://m.media-amazon.com/images/M/MV5BMTY1NDQ2NzMyMF5BMl5BanBnXkFtZTgwODI5ODUwMTE@._V1_SX300.jpg,Samuel Goldwyn Films,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",25 Apr 2014,True,93 min,,The German Doctor,movie,http://thegermandoctorfilm.com/,Lucía Puenzo,2013,tt1847746,6.8,"5,675",,
5,"Danny Trejo, Martin Copping, Clare Niederpruem, Jade Regier",N/A,N/A,USA,08 Oct 2013,K. King,,,"Action, Comedy, Horror",English,N/A,"When a street drug turns junkies into an army of zombies, a man named Hunter finds himself with nothing but a beat-up car and a trunk full of guns and booze, until he stumbles across a small band of survivors.",https://m.media-amazon.com/images/M/MV5BMTU5Mjg3MzAxNV5BMl5BanBnXkFtZTgwNTk5NTI2MDE@._V1_SX300.jpg,Well Go USA,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",08 Oct 2013,True,93 min,,Zombie Hunter,movie,http://wellgousa.com/zombie-hunter,"K. King, Kurt Knight",2013,tt2446502,3.5,"2,278",,
6,"Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain",2 wins & 2 nominations.,N/A,"Canada, USA",06 Aug 2013,"Jayson Thiessen, Noelle Benvenuti(co-director)",,,"Animation, Comedy, Family, Fantasy, Musical",English,N/A,"Via a magic mirror, Twilight Sparkle travels into an alternate universe in order to recover a crown that was stolen from the Crystal Empire. Upon her arrival she is horrified to learn that she has turned into a human.",https://m.media-amazon.com/images/M/MV5BMTg4MzI3MzA3NV5BMl5BanBnXkFtZTcwNjc2NzM2OQ@@._V1_SX300.jpg,Screenvision,TV-Y,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",15 Jun 2016,True,72 min,,My Little Pony: Equestria Girls,movie,http://www.MLPEG.com,"Meghan McCarthy, Lauren Faust (television series: ""My Little Pony: Friendship is Magic"")",2013,tt2908228,6.1,"4,290",,
7,"Roger Allam, Sophie Nélisse, Heike Makatsch, Julian Lehmann",Nominated for 1 Oscar. Another 8 wins & 14 nominations.,N/A,"USA, Germany",11 Mar 2014,Brian Percival,,,"Drama, War","English, German",53,"While subjected to the horrors of World War II Germany, young Liesel finds solace by stealing books and sharing them with others. In the basement of her home, a Jewish refugee is being protected by her adoptive parents.",https://m.media-amazon.com/images/M/MV5BOTE3NzkyMjAyNF5BMl5BanBnXkFtZTgwMDc5MTE0MDE@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",27 Nov 2013,True,131 min,,The Book Thief,movie,http://www.thebookthief.com/,"Markus Zusak (based on the novel by), Michael Petroni (screenplay by)",2013,tt0816442,7.6,"117,722",,
8,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",Nominated for 2 Oscars. Another 4 wins & 17 nominations.,"$89,289,910",USA,17 Dec 2013,Gore Verbinski,,,"Action, Adventure, Western","English, North American Indian",37,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",https://m.media-amazon.com/images/M/MV5BZjFiMTc2MTAtZDA0My00OGRmLTk5M2ItNTlmYTUwZmU2YmRiXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Walt Disney Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",03 Jul 2013,True,150 min,,The Lone Ranger,movie,http://disney.go.com/the-lone-ranger/,"Justin Haythe (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Justin Haythe (screen story)",2013,tt1210819,6.4,"207,397",,
9,"Tino Mewes, Marleen Lohse, Folke Renken",27 wins & 11 nominations.,N/A,Germany,N/A,Erik Schmitt,,,"Animation, Short, Comedy",German,N/A,"Bruno is making his way through the city searching for its soul. Driven by his curiosity, a challenging imagination and his wild reflection on reality he is lifting the old dusty curtain on the city's crusted perception.",https://images-na.ssl-images-amazon.com/images/M/MV5BM2IwMTg5ZjUtODUwYi00MjdmLWIwZTctMmQ0ODA4NGM1YTU3XkEyXkFqcGdeQXVyMTk5Mzk0NTI@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",18 Oct 2013,True,15 min,,Nashorn im Galopp,movie,N/A,"Stephan Müller, Erik Schmitt, Daniel Thomaser (script collaborator)",2013,tt2656122,7.8,155,,
10,"Fernanda Montenegro, Thiago Lacerda, Marjorie Estiano, Janaína Kremer Motta",4 nominations.,N/A,Brazil,N/A,Jayme Monjardim,,,"Drama, Romance, War",Portuguese,N/A,The history of Brazil's southern occupation and the Anna Terra descendants.,https://m.media-amazon.com/images/M/MV5BMTQxNzgzNTYyM15BMl5BanBnXkFtZTgwMjA1NDAxMDE@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",27 Sep 2013,True,115 min,,Time and the Wind,movie,N/A,"Tabajara Ruas (screenplay), Erico Verissimo (book), Letícia Wierzchowski (screenplay)",2013,tt2401711,6.4,611,,
11,"Guillaume Gallienne, André Marcon, Françoise Fabian, Nanou Garcia",14 wins & 11 nominations.,N/A,"France, Belgium",N/A,Guillaume Gallienne,,,Comedy,"French, English, Spanish, German",N/A,"Mrs. Gallienne, a rather temperamental upper middle-class lady, has three children, two of whom she considers as her sons and another she calls Guillaume. Logically indeed, the latter ...",https://m.media-amazon.com/images/M/MV5BMGM2MzJjNWYtNDk3ZC00OGQ5LTg2MzEtMjlkMjM0MTdlMmQ2XkEyXkFqcGdeQXVyMjkzMDQ1Njc@._V1_SX300.jpg,LGM Productions,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",20 Nov 2013,True,85 min,,"Me, Myself and Mum",movie,N/A,"Guillaume Gallienne (screenplay), Claude Mathieu (collaboration on screenplay), Nicolas Vassiliev (collaboration on screenplay)",2013,tt2315200,6.7,"6,785",,
12,"Aoi Yûki, Chiwa Saitô, Eri Kitamura, Kaori Mizuhashi",2 wins & 5 nominations.,N/A,Japan,N/A,"Yukihiro Miyamoto, Akiyuki Shinbo",,,"Animation, Drama, Fantasy, Mystery, Thriller",Japanese,N/A,Madoka Kaname used to be a normal girl living happy days of her life. This all ended when she sacrificed herself in order to save other magical girls from the utterly cruel fate that ...,https://m.media-amazon.com/images/M/MV5BMTU4MDUxMzcxMV5BMl5BanBnXkFtZTgwNzI5MDU2MDE@._V1_SX300.jpg,Warner Brothers,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",26 Oct 2013,True,116 min,,Puella Magi Madoka Magica the Movie Part III: Rebellion,movie,http://www.madokamagicausa.com/,Gen Urobuchi (screenplay),2013,tt2457282,7.7,"2,315",,
13,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Won 3 Oscars. Another 235 wins & 326 nominations.,"$50,628,650","USA, UK",04 Mar 2014,Steve McQueen,,,"Biography, Drama, History",English,96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,Fox Searchlight,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",08 Nov 2013,True,134 min,,12 Years a Slave,movie,http://www.foxsearchlight.com/12yearsaslave/,"John Ridley (screenplay by), Solomon Northup (based on ""Twelve Years a Slave"" by)",2013,tt2024544,8.1,"567,936",,
14,"Felicity Jones, John Kavanagh, Tom Attwood, Susanna Hislop",Nominated for 1 Oscar. Another 1 win & 7 nominations.,"$1,200,000",UK,15 Apr 2014,Ralph Fiennes,,,"Biography, Drama, History, Romance","English, French",75,"At the height of his career, Charles Dickens meets a younger woman who becomes his secret lover until his death.",https://m.media-amazon.com/images/M/MV5BMzQxMTI3MDUzOF5BMl5BanBnXkFtZTgwNzc4MzI1MDE@._V1_SX300.jpg,Sony Pictures Classics,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",21 Feb 2014,True,111 min,,The Invisible Woman,movie,http://www.sonyclassics.com/theinvisiblewoman/,"Abi Morgan, Claire Tomalin (book)",2013,tt1700845,6.2,"8,545",,
15,"Tatiana Maslany, Jordan Gavaris, Maria Doyle Kennedy, Kristian Bruun",Nominated for 1 Golden Globe. Another 65 wins & 79 nominations.,,Canada,,N/A,,,"Action, Drama, Sci-Fi",English,N/A,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,https://m.media-amazon.com/images/M/MV5BZjM1ZTVlMGYtNjVkZS00OGMzLWFjMmYtYTE3NjJhZDRlODY3XkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_SX300.jpg,,TV-MA,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",30 Mar 2013,True,44 min,,Orphan Black,series,,"Kim Coghill, Andrew De Angelis, Jeff Detsky, John Fawcett, Adam Higgs, Alex Levine, Bob Mackowycz Jr., Graeme Manson, Elize Morgan, Peter Rowley, Rebecca Sernasie",2013–2017,tt2234222,8.3,"91,450",,5
